flightIdUnique,timeToDepartureDays,price
LH809_2019_5_5_4_20,24,1464
SK635_2019_5_5_7_0,24,1749
SK673_2019_5_5_15_0,25,1749
LH801_2019_5_5_8_0,24,2645
LH807_2019_5_5_14_25,25,2645
LH803_2019_5_5_11_10,24,3029
LH805_2019_5_5_16_50,25,4267
SK637_2019_5_6_12_35,26,969
SK673_2019_5_6_15_0,26,969
LH807_2019_5_6_14_25,26,1299
SK635_2019_5_6_7_0,25,1499
LH803_2019_5_6_11_10,25,1629
LH801_2019_5_6_8_10,25,1793
LH805_2019_5_6_16_50,26,1793
LH809_2019_5_6_4_5,25,2645
SK635_2019_5_7_7_0,26,969
SK637_2019_5_7_12_35,27,969
SK673_2019_5_7_15_0,27,969
LH801_2019_5_7_8_0,26,1299
LH807_2019_5_7_14_25,27,1299
LH805_2019_5_7_16_50,27,1299
LH803_2019_5_7_11_10,26,1464
LH809_2019_5_7_4_5,26,1629
SK635_2019_5_8_7_0,27,969
SK637_2019_5_8_12_35,28,969
SK673_2019_5_8_15_0,28,969
LH801_2019_5_8_8_0,27,1299
LH807_2019_5_8_14_25,28,1299
LH803_2019_5_8_11_15,27,1464
LH805_2019_5_8_16_50,28,1464
LH809_2019_5_8_4_5,27,1629
SK637_2019_5_9_12_35,29,969
SK673_2019_5_9_15_0,29,969
LH801_2019_5_9_8_10,28,1464
SK635_2019_5_9_7_0,28,1749
LH807_2019_5_9_14_25,29,1793
LH809_2019_5_9_4_5,28,1985
LH803_2019_5_9_11_10,28,1985
LH805_2019_5_9_16_50,29,1985
SK637_2019_5_10_12_35,30,1329
SK673_2019_5_10_15_0,30,1329
LH809_2019_5_10_4_20,29,1723
SK635_2019_5_10_7_0,29,1749
LH803_2019_5_10_11_10,29,1793
LH807_2019_5_10_14_25,30,1793
LH805_2019_5_10_16_50,30,1793
LH801_2019_5_10_8_0,29,2645
SK635_2019_5_11_7_0,30,1329
LH809_2019_5_11_4_20,30,1629
LH801_2019_5_11_8_0,30,1629
LH803_2019_5_11_11_10,30,1629
LH807_2019_5_1_14_25,20.5,1629
LH805_2019_5_1_16_50,20.5,1629
LH801_2019_5_1_8_0,19.5,1985
LH803_2019_5_2_11_10,20.5,1629
LH801_2019_5_2_8_10,20.5,1629
LH809_2019_5_2_4_5,20.5,1793
LH805_2019_5_2_16_50,21.5,1793
LH803_2019_5_3_11_10,21.5,1299
LH801_2019_5_3_8_0,21.5,1464
SK637_2019_5_3_12_35,22.5,1499
SK673_2019_5_3_15_0,22.5,1499
LH809_2019_5_3_4_20,21.5,1793
LH807_2019_5_3_14_25,22.5,1793
LH805_2019_5_3_16_50,22.5,1985
SK673_2019_5_4_15_0,23.5,1329
LH807_2019_5_4_14_25,23.5,1464
